episode,total_reward,epsilon,success
0,-4757,0.2,1
1,-1303,0.199,1
2,-1691,0.198005,1
3,-833,0.197015,1
4,-1061,0.19603,1
5,-1353,0.19505,1
6,-877,0.194075,1
7,-967,0.193104,1
8,-413,0.192139,1
9,-367,0.191178,1
10,-761,0.190222,1
11,-651,0.189271,1
12,-647,0.188325,1
13,-445,0.187383,1
14,-537,0.186446,1
15,-365,0.185514,1
16,-547,0.184586,1
17,-195,0.183663,1
18,-325,0.182745,1
19,-645,0.181831,1
20,-203,0.180922,1
21,-581,0.180017,1
22,-635,0.179117,1
23,-557,0.178222,1
24,-195,0.177331,1
25,-483,0.176444,1
26,-149,0.175562,1
27,-193,0.174684,1
28,-255,0.173811,1
29,-285,0.172942,1
30,-273,0.172077,1
31,-217,0.171216,1
32,-279,0.17036,1
33,-65,0.169509,1
34,-451,0.168661,1
35,-405,0.167818,1
36,-109,0.166979,1
37,-277,0.166144,1
38,57,0.165313,1
39,-129,0.164486,1
40,-77,0.163664,1
41,-189,0.162846,1
42,-645,0.162031,1
43,-217,0.161221,1
44,-117,0.160415,1
45,19,0.159613,1
46,-77,0.158815,1
47,-125,0.158021,1
48,-245,0.157231,1
49,-283,0.156445,1
50,-291,0.155663,1
51,-297,0.154884,1
52,-155,0.15411,1
53,35,0.153339,1
54,-97,0.152573,1
55,-45,0.15181,1
56,-279,0.151051,1
57,-31,0.150295,1
58,-57,0.149544,1
59,-177,0.148796,1
60,-31,0.148052,1
61,-201,0.147312,1
62,-5,0.146575,1
63,-199,0.145842,1
64,-37,0.145113,1
65,-297,0.144388,1
66,-89,0.143666,1
67,-89,0.142947,1
68,-259,0.142233,1
69,21,0.141522,1
70,-65,0.140814,1
71,-79,0.14011,1
72,-111,0.139409,1
73,71,0.138712,1
74,19,0.138019,1
75,-171,0.137329,1
76,-87,0.136642,1
77,-245,0.135959,1
78,29,0.135279,1
79,-71,0.134603,1
80,-93,0.13393,1
81,69,0.13326,1
82,17,0.132594,1
83,-51,0.131931,1
84,53,0.131271,1
85,-21,0.130615,1
86,-113,0.129962,1
87,-151,0.129312,1
88,-129,0.128665,1
89,23,0.128022,1
90,-95,0.127382,1
91,9,0.126745,1
92,63,0.126111,1
93,57,0.125481,1
94,-21,0.124853,1
95,7,0.124229,1
96,-79,0.123608,1
97,-137,0.12299,1
98,75,0.122375,1
99,73,0.121763,1
100,-55,0.121154,1
101,67,0.120548,1
102,-121,0.119946,1
103,-103,0.119346,1
104,-293,0.118749,1
105,-35,0.118155,1
106,13,0.117565,1
107,-21,0.116977,1
108,15,0.116392,1
109,49,0.11581,1
110,23,0.115231,1
111,63,0.114655,1
112,81,0.114081,1
113,-23,0.113511,1
114,23,0.112943,1
115,-159,0.112379,1
116,-41,0.111817,1
117,81,0.111258,1
118,77,0.110702,1
119,-77,0.110148,1
120,71,0.109597,1
121,71,0.109049,1
122,71,0.108504,1
123,27,0.107962,1
124,-31,0.107422,1
125,11,0.106885,1
126,81,0.10635,1
127,-85,0.105818,1
128,11,0.105289,1
129,25,0.104763,1
130,-27,0.104239,1
131,-37,0.103718,1
132,-39,0.103199,1
133,25,0.102683,1
134,31,0.10217,1
135,7,0.101659,1
136,25,0.101151,1
137,21,0.100645,1
138,-75,0.100142,1
139,31,0.099641,1
140,71,0.0991428,1
141,-19,0.0986471,1
142,-39,0.0981539,1
143,81,0.0976631,1
144,27,0.0971748,1
145,25,0.0966889,1
146,81,0.0962055,1
147,-83,0.0957244,1
148,31,0.0952458,1
149,-41,0.0947696,1
150,79,0.0942957,1
151,-69,0.0938243,1
152,25,0.0933551,1
153,81,0.0928884,1
154,31,0.0924239,1
155,75,0.0919618,1
156,31,0.091502,1
157,27,0.0910445,1
158,29,0.0905893,1
159,27,0.0901363,1
160,31,0.0896856,1
161,79,0.0892372,1
162,81,0.088791,1
163,81,0.0883471,1
164,23,0.0879053,1
165,81,0.0874658,1
166,81,0.0870285,1
167,73,0.0865933,1
168,81,0.0861604,1
169,79,0.0857296,1
170,-23,0.0853009,1
171,29,0.0848744,1
172,29,0.08445,1
173,29,0.0840278,1
174,27,0.0836077,1
175,29,0.0831896,1
176,79,0.0827737,1
177,-19,0.0823598,1
178,81,0.081948,1
179,-19,0.0815383,1
180,31,0.0811306,1
181,31,0.0807249,1
182,79,0.0803213,1
183,29,0.0799197,1
184,27,0.0795201,1
185,81,0.0791225,1
186,29,0.0787269,1
187,81,0.0783332,1
188,31,0.0779416,1
189,77,0.0775519,1
190,81,0.0771641,1
191,77,0.0767783,1
192,79,0.0763944,1
193,81,0.0760124,1
194,31,0.0756324,1
195,81,0.0752542,1
196,31,0.0748779,1
197,81,0.0745035,1
198,77,0.074131,1
199,81,0.0737604,1
200,81,0.0733916,1
201,81,0.0730246,1
202,31,0.0726595,1
203,79,0.0722962,1
204,81,0.0719347,1
205,31,0.071575,1
206,-69,0.0712172,1
207,81,0.0708611,1
208,31,0.0705068,1
209,-19,0.0701542,1
210,81,0.0698035,1
211,81,0.0694544,1
212,81,0.0691072,1
213,79,0.0687616,1
214,-21,0.0684178,1
215,81,0.0680757,1
216,-19,0.0677354,1
217,31,0.0673967,1
218,29,0.0670597,1
219,81,0.0667244,1
220,81,0.0663908,1
221,31,0.0660588,1
222,79,0.0657285,1
223,31,0.0653999,1
224,81,0.0650729,1
225,29,0.0647475,1
226,81,0.0644238,1
227,81,0.0641017,1
228,81,0.0637812,1
229,79,0.0634623,1
230,29,0.0631449,1
231,79,0.0628292,1
232,79,0.0625151,1
233,29,0.0622025,1
234,79,0.0618915,1
235,81,0.061582,1
236,81,0.0612741,1
237,31,0.0609677,1
238,29,0.0606629,1
239,27,0.0603596,1
240,81,0.0600578,1
241,81,0.0597575,1
242,81,0.0594587,1
243,27,0.0591614,1
244,77,0.0588656,1
245,77,0.0585713,1
246,81,0.0582784,1
247,81,0.057987,1
248,31,0.0576971,1
249,29,0.0574086,1
250,-19,0.0571216,1
251,31,0.056836,1
252,31,0.0565518,1
253,31,0.056269,1
254,79,0.0559877,1
255,-19,0.0557077,1
256,31,0.0554292,1
257,31,0.0551521,1
258,81,0.0548763,1
259,81,0.0546019,1
260,-19,0.0543289,1
261,27,0.0540573,1
262,81,0.053787,1
263,29,0.053518,1
264,81,0.0532505,1
265,79,0.0529842,1
266,81,0.0527193,1
267,81,0.0524557,1
268,-31,0.0521934,1
269,31,0.0519324,1
270,79,0.0516728,1
271,31,0.0514144,1
272,77,0.0511573,1
273,31,0.0509016,1
274,81,0.050647,1
275,29,0.0503938,1
276,81,0.0501418,1
277,81,0.0498911,1
278,79,0.0496417,1
279,31,0.0493935,1
280,81,0.0491465,1
281,81,0.0489008,1
282,81,0.0486563,1
283,81,0.048413,1
284,81,0.0481709,1
285,31,0.0479301,1
286,81,0.0476904,1
287,81,0.047452,1
288,31,0.0472147,1
289,81,0.0469786,1
290,79,0.0467437,1
291,81,0.04651,1
292,81,0.0462775,1
293,-23,0.0460461,1
294,-19,0.0458158,1
295,31,0.0455868,1
296,81,0.0453588,1
297,31,0.045132,1
298,81,0.0449064,1
299,81,0.0446818,1
300,31,0.0444584,1
301,31,0.0442361,1
302,81,0.044015,1
303,81,0.0437949,1
304,81,0.0435759,1
305,81,0.043358,1
306,31,0.0431412,1
307,81,0.0429255,1
308,79,0.0427109,1
309,31,0.0424974,1
